(0.027424,0.0720851)
(0.0368661,0.0834869)
(0.0104094,0.0754948)
(0.007692,0.0903186)
(-0.0038243,-0.0128321)
(-0.00511361,0.0179677)
(0.0211584,-0.0658636)
(-0.00262581,0.0176947)
(0.0327919,-0.0834755)
(-0.0868618,0.0446398)
(0.0214711,-0.014817)
(-0.060193,0.0348168)
(-0.0490877,0.0487056)
(-0.0645947,0.0707833)
(0.0217378,-0.0181923)
(-0.0294359,-0.0503703)
(0.0230837,0.0578768)
(0.00440301,0.00774987)
(-0.00899907,-0.0221648)
(0.0192645,0.0645695)
(0.0491685,0.0709556)
(0.00585269,0.058451)
(0.0109829,0.057135)
(0.000529348,0.00346273)
(0.00851066,-0.0547276)
(-0.000221297,0.00172827)
(-0.00342818,0.0562273)
(-0.0144934,0.00133317)
(-0.0115549,0.00251931)
(-0.088696,0.0077803)
(0.0808732,-0.00174235)
(0.0909492,-0.0177487)
(-0.0722145,0.0186841)
(-0.0598595,0.0571115)
(0.0579536,-0.0621641)
(-0.0609564,0.0354044)
(0.0730424,-0.0454263)
(-0.00104872,0.000431049)
(-0.00986158,0.00755897)
(0.0801942,-0.0371426)
(-0.00574592,0.00483835)
(-0.056801,0.0565513)
(0.0759535,-0.0446029)
(0.00686636,-0.00430224)
(0.0741793,-0.0603456)
(-0.001401,0.00472444)
(0.0247142,-0.07424)
(0.000945552,-0.00231963)
(-0.0192045,0.0816359)
(-0.0402261,0.0705166)
(-0.0474215,0.0686013)
(-0.0887729,-0.00877419)
(0.0112149,0.00258608)
(-0.0910691,-0.0188467)
(0.072655,0.01967)
(-0.0139681,-0.0014634)
(-0.0814998,-0.00269401)
(-0.0790268,-0.0124329)
(0.00149291,0.000272867)
(-0.0847998,0.00658124)
(0.00418848,0.000582208)
(-0.0813764,0.0012357)
(-0.0714285,-0.0269413)
(-0.0872351,-0.0285315)
(-0.0859563,-0.0177771)
(0.011244,0.00365085)
(0.0640258,0.0237164)
(-0.0183757,-0.00601403)
(-0.0243799,-0.00464997)
(0.0705097,0.0099221)
(0.0866281,0.0261882)
(-0.0305252,0.0752089)
(-0.02976,0.086688)
(-0.0038796,0.008667)
(-0.0510065,0.0724742)
(0.00116277,-0.00267435)
(0.0562985,-0.0712174)
(0.00975122,-0.090616)
(-0.0119302,0.0751905)
(-0.00266596,0.0129778)
(-0.0372836,0.0813885)
(0.00282757,-0.00943375)
(-0.0163342,-0.0939459)
(0.00562484,0.0675244)
(-0.00137732,0.0180028)
(-0.0177363,0.0902185)
(0.00852056,-0.0765608)
(-0.00254808,-0.0238297)
(0.000219085,0.0165357)
(-0.00260892,-0.0206893)
(0.0202616,0.0878144)
(0.00385421,-0.0733222)
(0.011671,0.0691452)
(0.0511585,-0.03361)
(0.0446751,-0.0467911)
(0.0805188,-0.0462559)
(-0.0226259,0.0165746)
(0.0582577,-0.0678702)
(0.0207235,-0.0188725)
(-0.035917,0.0204515)
(0.0344198,-0.0143293)
(0.0425335,-0.0161942)
(0.0980685,-0.0302583)
(-0.0664228,0.0498176)
(-0.0603114,0.0535942)
(-0.00883121,0.00416241)
(0.079942,-0.040884)
(-0.0458411,0.0389218)
(-0.0390606,0.0600304)
(0.00528537,-0.00721544)
(0.0479978,-0.0782412)
(0.0558097,-0.050464)
(-0.0108756,0.0124018)
(-0.00683617,0.0156451)
(-0.0236356,0.0670107)
(-0.0274825,0.0884085)
(0.0100041,-0.0182834)
(-0.0509713,0.0720516)
(-0.0375766,-0.0620463)
(0.00661766,0.016242)
(-0.0236186,-0.0870513)
(-0.0213199,-0.068311)
(0.00774453,0.0157282)
(0.0488483,0.0746571)
(-0.0763685,-0.0676346)
(0.0184221,0.0229156)
(0.0414193,0.0747014)
(-0.0528876,-0.0487234)
(-0.00836318,-0.0103643)
(0.0080634,0.00324756)
(0.00440465,0.00487748)
(0.102363,0.0410872)
(-0.0716781,-0.0298321)
(0.0539643,0.046689)
(0.03585,0.0189544)
(-0.079959,-0.0383534)
(0.0448777,0.0353988)
(-0.0618982,-0.0517183)
(0.0296145,0.0163241)
(-0.0932756,-0.0439962)
(0.0693181,0.0585713)
(0.0193805,0.00879591)
(-0.0518691,-0.0429284)
(-0.00942366,0.0775505)
(0.00163154,-0.0189303)
(0.0194222,-0.0927097)
(0.0164158,0.0960165)
(0.00547684,0.0690843)
(0.00249802,0.0250609)
(0.0561965,-0.0748808)
(1.58148e-05,0.00102342)
(-0.0326926,0.0771112)
(0.0321439,-0.08901)
(0.00417929,-0.00885641)
(-0.0602269,0.0717393)
(-0.0104694,0.0935168)
(-0.000287649,-0.0177607)
(-0.0125312,-0.0710801)
(-0.0215804,-0.0908561)
(-0.00431925,0.075325)
(0.00273498,0.021573)
(-0.0545074,0.0509415)
(0.0645505,-0.066209)
(-0.0915277,0.0370848)
(0.0231532,-0.014594)
(0.0043615,-0.00392064)
(0.082289,-0.0384286)
(-0.0430764,0.0358501)
(-0.00695533,-0.0869326)
(-0.000586888,0.0167506)
(-0.0131948,0.0685004)
(-0.0214394,0.0854046)
(0.00180397,0.0711416)
(0.00252603,-0.0171119)
(-0.0314314,-0.0593963)
