(-0.0644051,0.0179027)
(-0.065743,0.0092126)
(0.0616541,-0.0220314)
(-0.0873265,0.0242166)
(-0.0298864,0.00520678)
(0.0934958,-0.0203693)
(-0.0929329,-0.00430692)
(0.0925469,-0.00445909)
(-0.0657845,-0.00922977)
(0.0267183,0.00244351)
(0.0261875,-0.00246621)
(-0.0733089,0.0109514)
(-0.0907617,0.0304707)
(0.0743113,-0.0284241)
(0.0958902,-0.0173031)
(0.0207005,-0.00609434)
(0.0175705,-0.00375694)
(0.0219509,0.000872504)
(-0.0725322,-0.00980253)
(-0.0212058,0.00110952)
(-0.0955893,-0.00822219)
(-0.0939712,0.0094621)
(-0.0342361,0.0116906)
(0.0994093,-0.0422116)
(-0.0176067,0.00847182)
(-0.065408,0.0182089)
(0.0653414,-0.00952493)
(0.0935581,-0.00495863)
(-0.0269647,-0.00238408)
(0.0664462,0.0090991)
(0.0928347,0.00387931)
(-0.0265626,0.00273262)
(0.0980458,-0.0286732)
(0.030947,-0.00558533)
(-0.0532781,0.0196076)
(0.0861225,-0.0187234)
(-0.000471517,0.019624)
(-0.00678489,-0.0681346)
(0.00736516,-0.0950993)
(-0.0327063,0.0868767)
(0.0393448,-0.0652535)
(0.00888684,-0.0235673)
(-0.00417163,0.0936921)
(-0.00398564,-0.0140697)
(-0.0288477,-0.0690912)
(0.02337,0.090905)
(-0.0152778,0.0780424)
(0.00798276,0.0825343)
(-0.047647,0.077388)
(-0.000536199,-0.00327027)
(0.00400558,-0.0111785)
(-0.037912,0.0858245)
(0.0466906,0.081294)
(0.0200066,0.089594)
(0.0460866,0.0626206)
(-0.00550487,-0.00952652)
(0.0110645,0.0189663)
(0.0644157,0.0668809)
(0.0560074,0.0456843)
(0.012734,0.0129333)
(0.00603707,0.0266256)
(-0.0397989,-0.0540818)
(-0.0422703,-0.0796979)
(-0.0694237,0.0089706)
(-0.0838873,0.0263709)
(0.0618625,-0.0207948)
(0.0173333,-0.00445034)
(0.0903798,-0.0141726)
(0.0257186,-0.00552661)
(0.0231886,0.00116924)
(-0.0701878,-0.0104492)
(-0.0216746,0.00079878)
(-0.09261,-0.00936799)
(-0.0923319,0.00791436)
(-0.0276133,0.00907963)
(0.0368903,-0.0156504)
(-0.0532885,0.0251386)
(0.0985774,-0.0425411)
(0.0648687,-0.01789)
(0.0664338,-0.00888368)
(0.0229223,-0.0035356)
(-0.0677564,0.0241746)
(0.0927641,-0.0248561)
