  1
  4
  1
  400
  20,   20
  0.646665,   0.034708,   4.999881,	  0.697232,   0.030727,   4.999881,	  0.697232,   0.030727,   4.749887,	  0.646665,   0.034708,   4.749887,	
  0.697232,   0.030727,   4.999881,	  0.747801,   0.026413,   5.000297,	  0.747801,   0.026413,   4.750282,	  0.697232,   0.030727,   4.749887,	
  0.747801,   0.026413,   5.000297,	  0.798332,   0.021997,   5.000297,	  0.798332,   0.021997,   4.750282,	  0.747801,   0.026413,   4.750282,	
  0.798332,   0.021997,   5.000297,	  0.848881,   0.017603,   4.999885,	  0.848881,   0.017603,   4.749890,	  0.798332,   0.021997,   4.750282,	
  0.848881,   0.017603,   4.999885,	  0.899362,   0.012671,   4.999885,	  0.899362,   0.012671,   4.749890,	  0.848881,   0.017603,   4.749890,	
  0.899362,   0.012671,   4.999885,	  0.949678,   0.006666,   4.999864,	  0.949678,   0.006666,   4.749871,	  0.899362,   0.012671,   4.749890,	
  0.949678,   0.006666,   4.999864,	  1.000000,   0.000000,   5.000000,	  1.000000,   0.000000,   4.750000,	  0.949678,   0.006666,   4.749871,	
  0.000000,   0.000000,   4.750000,	  0.040074,   0.026929,   4.749984,	  0.040074,   0.026929,   4.499985,	  0.000000,   0.000000,   4.500000,	
  0.040074,   0.026929,   4.749984,	  0.089665,   0.037473,   4.750036,	  0.089665,   0.037473,   4.500034,	  0.040074,   0.026929,   4.499985,	
  0.089665,   0.037473,   4.750036,	  0.140011,   0.043656,   4.749990,	  0.140011,   0.043656,   4.499990,	  0.089665,   0.037473,   4.500034,	
  0.140011,   0.043656,   4.749990,	  0.190606,   0.047309,   4.749984,	  0.190606,   0.047309,   4.499984,	  0.140011,   0.043656,   4.499990,	
  0.190606,   0.047309,   4.749984,	  0.241291,   0.049273,   4.750005,	  0.241291,   0.049273,   4.500005,	  0.190606,   0.047309,   4.499984,	
  0.241291,   0.049273,   4.750005,	  0.292015,   0.049985,   4.750005,	  0.292015,   0.049985,   4.500005,	  0.241291,   0.049273,   4.500005,	
  0.292015,   0.049985,   4.750005,	  0.342741,   0.049694,   4.749994,	  0.342741,   0.049694,   4.499995,	  0.292015,   0.049985,   4.500005,	
  0.342741,   0.049694,   4.749994,	  0.393453,   0.048553,   4.749994,	  0.393453,   0.048553,   4.499995,	  0.342741,   0.049694,   4.499995,	
